"Batter","Total_PA","Total_AB","Walks","xOBP","xBA","xSLG","K_percentage","BB_percentage","Strikeouts","Hits","Singles","Doubles","Triples","HomeRuns","xHomeRuns","x1B","x2B","x3B","Errors","OBP","BA","SLG","OPS","xOPS","wOBA","xWOBA","xBA_plus","xOBP_plus","xSLG_plus","xOPS_plus","K_percentage_plus","BB_percentage_plus","wOBA_plus","xWOBA_plus"
"Alec Craig",317,264,46,0.356059874763863,0.253299167803578,0.345765466963811,0.16403785488959,0.145110410094637,52,61,47,10,2,2,2.93993405653672,49.467566127053,13.3356594244185,1.12782069213642,1,0.337539432176656,0.231060606060606,0.306818181818182,0.644357613994838,0.701825341727675,0.304687706302787,0.32579902336496,104.642730933817,122.636269351112,88.8653186014821,103.296579821819,74.7122745212899,216.118480989358,102.797012602212,111.290022831044
"Ray Zuberer",273,247,24,0.316973490625065,0.253173129314343,0.443180200304956,0.197802197802198,0.0879120879120879,54,63,34,19,0,10,9.8432993455364,36.7233999605712,14.5322787709982,1.434784863537,1,0.318681318681319,0.255060728744939,0.453441295546559,0.772122614227877,0.760153690930021,0.329830233753411,0.325241210729632,104.590662023245,109.173903403852,113.901917515929,111.881506328495,90.0904983978192,130.930833203299,111.279720167134,111.099479040335
"Ian Walters",233,219,12,0.293122262012713,0.257066150908503,0.49090652831514,0.223175965665236,0.0515021459227468,52,52,30,11,1,10,11.9774412765741,30.3615300910572,12.6383125403303,1.32020314100047,1,0.274678111587983,0.237442922374429,0.4337899543379,0.708468065925882,0.784028790327853,0.295036610478269,0.322001927077993,106.198943703479,100.958920745671,126.168079841352,115.395508978543,101.6471717736,76.7041147306882,99.540879195529,109.992968812576
"Juremi Profar",353,330,21,0.310961811896689,0.268998544241004,0.44719483941039,0.15014164305949,0.0594900849858357,53,79,49,16,0,14,11.5763763802536,55.0400002080208,20.2306377573769,1.92250525387998,2,0.28328611898017,0.239393939393939,0.415151515151515,0.698437634131685,0.758156651307079,0.29620029484081,0.321257872810795,111.128443613474,107.103325099362,114.933721490765,111.587576556295,68.3831403482345,88.600857737785,99.93348865632,109.738806551656
"Juan Santana",289,275,12,0.298863227734433,0.270441719328186,0.470829651174615,0.114186851211073,0.041522491349481,33,64,47,9,4,4,11.5509439011725,44.0215908987873,17.1440264763321,1.65491153895922,2,0.262975778546713,0.232727272727273,0.338181818181818,0.601157596728531,0.769692878909047,0.259277196868933,0.319528684182842,111.724646844806,102.936258459029,121.008113754275,113.285510193738,52.0072600324204,61.8410336756067,87.4761952079396,109.148131233184
"Jonathan Lacroix",138,117,20,0.342545390955382,0.233087726084126,0.344679291792554,0.159420289855072,0.144927536231884,22,19,12,7,0,0,2.22601702849068,19.1671974430184,5.37793685825321,0.500112622080453,0,0.282608695652174,0.162393162393162,0.222222222222222,0.504830917874396,0.687224682747936,0.253045713925197,0.318975077731144,96.2929977863581,117.981530095313,88.5861602936893,101.147614764446,72.6091698037174,215.846119954714,85.3737873409772,108.959024237059
"Gavin Stupienski",283,258,24,0.316196932654632,0.253812914501011,0.411372472688817,0.212014134275618,0.0848056537102474,60,68,52,5,1,10,8.03444714953993,42.2099230557877,13.931698908032,1.30766282790113,1,0.325088339222615,0.263565891472868,0.406976744186047,0.732065083408661,0.727569405343449,0.319953944175416,0.31640082002303,104.854969520677,108.906436668118,105.72700093615,107.085661754481,96.5634317338227,126.304301994702,107.947609802289,108.079680904013
"Gaige Howard",306,260,39,0.337518990238496,0.247233888511461,0.355583111530352,0.202614379084967,0.127450980392157,62,70,40,23,1,6,4.3637165609017,45.9536662190361,12.8472081638773,1.11622006916467,0,0.356209150326797,0.269230769230769,0.434615384615385,0.790824534942182,0.693102101768848,0.347381182101957,0.315576673114229,102.137048050975,116.250307130098,91.3885552913192,102.012669425404,92.2822425491096,189.817617254293,117.201144042285,107.798159715431
"Dalton Combs",243,216,20,0.329141404861502,0.277691487876597,0.385531057633998,0.123456790123457,0.0823045267489712,30,69,53,6,3,7,3.01884808827759,43.7699694922404,12.1482847988878,1.04425900193909,2,0.366255144032922,0.319444444444444,0.472222222222222,0.838477366255144,0.7146724624955,0.357704900613798,0.313952055150499,114.719664894499,113.364849122547,99.0854886934019,105.18745431291,56.2293234170202,122.579277998974,120.684210145742,107.243204797494
"Will Riley",168,143,25,0.342033111944716,0.227003935711275,0.319091841960176,0.196428571428571,0.148809523809524,33,26,24,2,0,0,1.99338729093077,23.8170790283726,6.11378425401747,0.537312233391508,1,0.303571428571429,0.181818181818182,0.195804195804196,0.499375624375624,0.661124953904892,0.25896703106819,0.313263915542767,93.7796676220142,117.805087897841,82.0099197526068,97.3061850475782,89.4648699367232,221.627712453501,87.3715499693288,107.008142482499
