"Batter","Total_PA","Total_AB","Walks","xOBP","xBA","xSLG","K_percentage","BB_percentage","Strikeouts","Hits","Singles","Doubles","Triples","HomeRuns","xHomeRuns","x1B","x2B","x3B","Errors","OBP","BA","SLG","OPS","xOPS","wOBA","xWOBA","xBA_plus","xOBP_plus","xSLG_plus","xOPS_plus","K_percentage_plus","BB_percentage_plus","wOBA_plus","xWOBA_plus","Hard_Hit_Percentage","Avg_ExitSpeed","Avg_Angle"
"Oscar Campos",209,194,10,0.326589580759645,0.300294960715287,0.442537648110389,0.0909090909090909,0.0478468899521531,19,56,41,9,0,6,4.03895731624521,40.2070609243618,12.5441988704035,1.46700526775526,3,0.315789473684211,0.288659793814433,0.427835051546392,0.743624525230602,0.769127228870033,0.325097287323441,0.335483536183475,124.057591848381,112.485934619475,113.736774923784,113.202256268676,41.405229061624,71.2602022817,109.682895799945,114.598165506084,0.340659340659341,87.0513565738262,18.8325867356138
"Willie Estrada",132,124,6,0.312799167047968,0.284592661696224,0.467802148882984,0.181818181818182,0.0454545454545455,24,36,28,3,0,5,4.29957308232998,22.1509480765437,7.85868061874797,0.980288272710113,0,0.318181818181818,0.290322580645161,0.435483870967742,0.75366568914956,0.780601315930952,0.329716399869742,0.334964846895535,117.570671794351,107.736157937871,120.230014200045,114.891043890755,82.8104581232479,67.697192167615,111.241314340669,114.420985899771,0.368421052631579,88.735809560322,19.5314553002076
"Aaron Simmons",189,160,27,0.337414007049625,0.22982029582737,0.386714274283031,0.206349206349206,0.142857142857143,39,48,29,9,3,7,4.93505265351808,22.5882143064584,8.19808215245392,1.04989821994883,0,0.396825396825397,0.3,0.525,0.921825396825397,0.724128281332656,0.405537805669738,0.334021696706693,94.9431598529472,116.214148192964,99.3895876695496,106.579187679061,93.9832977113052,212.762603955361,136.822307095901,114.0988142586,0.347457627118644,86.3294374775475,23.6074958948238
"Brady West",183,164,16,0.316382591518816,0.255475696633801,0.433927348425732,0.256830601092896,0.087431693989071,47,35,20,9,1,5,6.42923291044235,26.5044240651918,7.95034238206856,1.01401489024062,0,0.278688524590164,0.213414634146341,0.371951219512195,0.650639744102359,0.750309939944548,0.289320485144701,0.329534114634876,105.541896622854,108.970382403342,111.523838416706,110.432676044148,116.975428551145,130.215364169401,97.612345172674,112.565896492087,0.258992805755396,85.260773329228,24.5834828461001
"Lamar Briggs",157,140,15,0.329971670360892,0.262896801761857,0.387545929872619,0.171974522292994,0.0955414012738854,27,31,18,11,1,1,2.7732401980354,25.7566245284958,7.42021769885711,0.85546982127167,1,0.292993630573248,0.221428571428571,0.335714285714286,0.628707916287534,0.717517600233511,0.289523902845057,0.326540102269323,108.607697090659,113.650814126281,99.6033317995935,105.60620949313,78.3270893713523,142.293461244031,97.6809752206688,111.543168734719,0.293103448275862,85.1850271078155,19.0482442775909
"Christian Ibarra",152,130,19,0.340470206691244,0.251934395515916,0.354361046909699,0.151315789473684,0.125,23,23,21,1,0,1,1.6726429813494,23.5275590919159,6.8050029504639,0.746266393339867,1,0.276315789473684,0.176923076923077,0.207692307692308,0.484008097165992,0.694831253600943,0.248159390552557,0.325596037506945,104.078917398533,117.26678273284,91.0744719827125,102.26717073738,68.917914161782,186.167278460941,83.7252159187464,111.220684683435,0.265486725663717,85.9551125338016,22.9286444636744
"Ian Walters",264,234,26,0.32159438002614,0.251713317636329,0.397760110945561,0.189393939393939,0.0984848484848485,50,47,26,13,1,7,6.50058240278726,39.1446811688691,11.8381030844907,1.4175496707539,2,0.276515151515151,0.200854700854701,0.354700854700855,0.631216006216006,0.7193544909717,0.284347334793308,0.323891509120281,103.98758589804,110.765457738942,102.228482492838,105.876568112975,86.2608938783833,146.677249696499,95.9344796442341,110.638433082099,0.245098039215686,85.0290153131185,21.5469736758483
"Jake Guenther",140,123,16,0.335282653768224,0.251541231931311,0.356571680611784,0.1,0.114285714285714,14,35,27,7,0,1,1.8537584239645,22.3902043338553,6.03374762365835,0.661861146073115,2,0.364285714285714,0.284552845528455,0.365853658536585,0.7301393728223,0.691854334380007,0.344492452780116,0.323530670752169,103.916494001909,115.480054761982,91.6426278195921,101.829019596853,45.5457519677864,170.210083164289,116.226530566391,110.515173933527,0.273584905660377,83.1896184076153,19.3865662866898
"Raphael Gladu",204,185,17,0.324118776586812,0.26551475904708,0.387452743170393,0.127450980392157,0.0833333333333333,26,54,39,10,0,5,3.54350795208235,34.7424686863792,9.74050436393048,1.0937494213177,0,0.348039215686274,0.291891891891892,0.427027027027027,0.775066242713301,0.711571519757205,0.348574842681449,0.322473145051412,109.689225317416,111.634925484413,99.5793818486182,104.731049050739,58.0485074099238,124.111518973961,117.603867024192,110.153932643832,0.242603550295858,83.4546087092071,20.7580428391789
"Jesmuel Valentin",135,110,23,0.348318031800994,0.218390311755766,0.30563865031062,0.162962962962963,0.17037037037037,22,26,17,7,1,1,1.26477862922628,17.4725837462091,4.76816248204254,0.517409435656281,1,0.362962962962963,0.236363636363636,0.345454545454545,0.708417508417508,0.653956682111614,0.34101026649958,0.322353288651212,90.2212148179356,119.969777544086,78.5523096776547,96.2511391330832,74.2227069104667,253.739105457875,115.051693710297,110.112990773053,0.186813186813187,82.9209603183568,18.5162582326812
"Jonathan Lacroix",158,128,28,0.346058299793119,0.208415713807132,0.299539853312951,0.215189873417722,0.177215189873418,34,35,29,4,0,2,1.76066009460269,19.1026039738185,5.24598502484658,0.567962274045093,0,0.39873417721519,0.2734375,0.3515625,0.75029667721519,0.64559815310607,0.366094407625227,0.320241308709402,86.1005176266945,119.191467145132,76.984855463552,95.0209078956521,98.0098460066289,263.933356805385,123.514702614392,109.391557376736,0.247191011235955,83.1793490022444,16.8343224596031
