"batter","total_pa","total_ab","xobp","xba","xslg","k_percentage","bb_percentage","homeruns","xhomeruns","x1b","x2b","x3b","obp","ba","slg","ops","xops","woba","xwoba","xba_plus","xobp_plus","xslg_plus","xops_plus","k_percentage_plus","bb_percentage_plus","woba_plus","xwoba_plus","hard_hit_percentage","avg_exitspeed","avg_angle","p_2025_a_plus","p_2025_aa","p_2026_a_plus","p_2026_aa","p_2026_aaa","p_2026_mlb","p_2027_a_plus","p_2027_aa","p_2027_aaa","p_2027_mlb","p_2025_other","p_2026_other","p_2027_other"
"Alec Craig",249,197,0.382575137470045,0.2449807575129,0.336180213984727,0.164658634538153,0.188755020080321,2,2.01044922499133,35.3347389274549,9.89709690521431,1.0189241723808,0.409638554216867,0.279187817258883,0.370558375634518,0.780196929851385,0.718755351454772,0.377191749657469,0.352092087746395,101.206236541069,131.768814548201,86.4018089649014,105.788385114649,74.9950132802908,281.12006707355,127.258777564386,120.271497683502,0.13855421686747,84.7200490318349,24.4414315656034,0.544714517126794,0.379035097148851,0.342916594164679,0.517159290746085,0.0828929885402748,0.0315406825097435,0.0809638250377399,0.302825443522613,0.0444711746475647,0.274441729450778,0.0762503857243555,0.0254904440392172,0.297297827341304
"Jake Mackenzie",173,147,0.364750006428953,0.259195585797339,0.378698653725375,0.132947976878613,0.144508670520231,3,2.52128164065043,26.5207178288695,8.1163972219077,0.94335442078116,0.352601156069364,0.244897959183673,0.394557823129252,0.747158979198616,0.743448660154328,0.346207758542363,0.349785220977436,107.07865398459,125.629376418521,97.3294898786986,109.422814055145,60.5521557953229,215.222287238082,116.805248724068,119.483492695845,0.316239316239316,85.8380287409519,21.2672450564134,0.524740602205708,0.379877347926635,0.357642520229841,0.501304160918037,0.041924175402071,0.0621417343877671,0.0295584595491844,0.405807160064282,0.0333970124751429,0.180456760452009,0.0953820498676576,0.0369874090622837,0.350780607459382
"Austin Dennis",286,267,0.350232526888083,0.307739710449407,0.409643635821434,0.0769230769230769,0.0629370629370629,3,2.46151664897359,61.5510849350451,16.4840040845356,1.66989702143742,0.370629370629371,0.329588014981273,0.441947565543071,0.812576936172442,0.759876162709516,0.366526142009244,0.344544752591112,127.133160355188,120.62917938016,105.282671893174,111.840658963378,35.0351938213741,93.7345737705438,123.660363249844,117.693395720305,0.284090909090909,86.277416196713,18.20475880979,0.453694083662561,0.502728653123212,0.348701077243369,0.435211653926828,0.0950600186292282,0.097157118844167,0.0167944968747285,0.424462262576375,0.0564342406215283,0.262477986101853,0.0435772632142263,0.0238701313564085,0.239831013825515
"Brendan O'donnell",128,116,0.325664652725159,0.273147203007072,0.452490440556971,0.203125,0.078125,6,4.36021243237542,20.3917478807503,6.14305221272721,0.790063022967424,0.3515625,0.301724137931034,0.508620689655172,0.860183189655172,0.77815509328213,0.371896662251346,0.340024601289123,112.842333898855,112.167365379842,116.294746023404,114.531002128108,92.514808684566,116.354549038088,125.472295354709,116.149352597025,0.230088495575221,83.6271600470692,21.9175894232897,0.352411375507315,0.627149108778664,0.3090067508785,0.326069945046669,0.128234935647191,0.21934495807734,0.00421458419977608,0.492057141400325,0.0747283020136336,0.26674815780318,0.0204395157140208,0.0173434103503005,0.162251814583086
"Steve Barmakian",208,184,0.353271429917409,0.290654659906636,0.383338025949488,0.115384615384615,0.0961538461538462,1,1.71647113308597,40.8553629165019,9.91292079383953,0.995702579393669,0.394230769230769,0.33695652173913,0.434782608695652,0.829013377926421,0.736609455866897,0.377951481516081,0.339361790868633,120.074999199585,121.675856517491,98.5218567579794,108.416201199224,52.5527907320612,143.205598816109,127.515099574852,115.9229425051,0.175141242937853,83.3145896544165,19.2090035612575,0.455130975007139,0.506713842831763,0.340254613589979,0.435062876598485,0.129173139268261,0.0754482831331473,0.0242426575498738,0.377114943939165,0.0647523911167483,0.314521729228813,0.0381551821610984,0.0200610874101283,0.219368278165399
"Kyle Crowl",164,141,0.336143592905706,0.234947157705928,0.403696297129767,0.286585365853659,0.134146341463415,4,5.19066319844759,20.5766886661942,6.49875568036943,0.861441691524552,0.341463414634146,0.24113475177305,0.397163120567376,0.738626535201522,0.739839890035473,0.339219503583648,0.33760695018633,97.0611645536526,115.776584563407,103.754144037843,108.891665365467,130.52745990768,199.789274445888,114.447517453005,115.32350467505,0.311320754716981,84.7640288492707,19.5262342798154,0.523784326597063,0.373117469482911,0.360316205005864,0.495513244952785,0.036140682646322,0.0674211617970883,0.0253785539898273,0.418146608457761,0.0310240915578269,0.160244867227511,0.103098203920027,0.0406087055979407,0.365205878767074
"Victor Nova",225,191,0.350028157057192,0.255268771402452,0.374858562671466,0.186666666666667,0.133333333333333,3,3.3632399589963,33.8310375399597,10.3721854224316,1.18987241648065,0.324444444444444,0.225130890052356,0.350785340314136,0.675229784758581,0.724886719728658,0.315153739411252,0.337546351163363,105.456411852038,120.558789101994,96.3425465672081,106.690816723575,85.0187370065346,198.578430358337,106.328093492876,115.302804592588,0.276073619631902,85.7856124118861,21.7729145397237,0.544112580146313,0.257384033072295,0.348920247656346,0.536852871962508,0.0154117697136499,0.0410370576326425,0.0403023092135626,0.362700221058274,0.0167949342592085,0.101932997145202,0.198503386781392,0.0577780530348538,0.478269538323753
"Oscar Campos",209,194,0.326589580759645,0.300294960715287,0.442537648110389,0.0909090909090909,0.0478468899521531,6,4.03895731624521,40.2070609243618,12.5441988704035,1.46700526775526,0.315789473684211,0.288659793814433,0.427835051546392,0.743624525230602,0.769127228870033,0.325097287323441,0.335483536183475,124.057591848381,112.485934619475,113.736774923784,113.202256268676,41.405229061624,71.2602022817,109.682895799945,114.598165506084,0.340659340659341,87.0513565738262,18.8325867356138,0.491300843318854,0.420159808654955,0.357160287602445,0.454273669402014,0.0320721324435925,0.115199291651189,0.0110961180687355,0.484269429312439,0.0303259178529812,0.140615907409827,0.0885393480261915,0.0412946189007598,0.333692627356017
"Willie Estrada",132,124,0.312799167047968,0.284592661696224,0.467802148882984,0.181818181818182,0.0454545454545455,5,4.29957308232998,22.1509480765437,7.85868061874797,0.980288272710113,0.318181818181818,0.290322580645161,0.435483870967742,0.75366568914956,0.780601315930952,0.329716399869742,0.334964846895535,117.570671794351,107.736157937871,120.230014200045,114.891043890755,82.8104581232479,67.697192167615,111.241314340669,114.420985899771,0.368421052631579,88.735809560322,19.5314553002076,0.481985974847773,0.438987209132199,0.357213235215603,0.443851842102734,0.0366097069678663,0.123251832731848,0.0102530506102133,0.489819203010738,0.03330707211472,0.148464744208762,0.0790268160200274,0.0390733829819497,0.318155930055566
"Aaron Simmons",189,160,0.337414007049625,0.22982029582737,0.386714274283031,0.206349206349206,0.142857142857143,7,4.93505265351808,22.5882143064584,8.19808215245392,1.04989821994883,0.396825396825397,0.3,0.525,0.921825396825397,0.724128281332656,0.405537805669738,0.334021696706693,94.9431598529472,116.214148192964,99.3895876695496,106.579187679061,93.9832977113052,212.762603955361,136.822307095901,114.0988142586,0.347457627118644,86.3294374775475,23.6074958948238,0.301042177175024,0.689086603799874,0.260615363635979,0.269342325926608,0.284770696137038,0.175989248488585,0.00467434507341186,0.386291867025031,0.111493285961044,0.394451174506701,0.00987121902510225,0.00928236581179019,0.103089327433812
"Brady West",183,164,0.316382591518816,0.255475696633801,0.433927348425732,0.256830601092896,0.087431693989071,5,6.42923291044235,26.5044240651918,7.95034238206856,1.01401489024062,0.278688524590164,0.213414634146341,0.371951219512195,0.650639744102359,0.750309939944548,0.289320485144701,0.329534114634876,105.541896622854,108.970382403342,111.523838416706,110.432676044148,116.975428551145,130.215364169401,97.612345172674,112.565896492087,0.258992805755396,85.260773329228,24.5834828461001,0.516266291111747,0.254790003318831,0.348232451822797,0.499421575537298,0.00884244769476004,0.0687100388946537,0.0160079686001633,0.414546081574188,0.0123513482051949,0.0658104254817384,0.228943705569422,0.0747934860504906,0.491284176138715
"Lamar Briggs",157,140,0.329971670360892,0.262896801761857,0.387545929872619,0.171974522292994,0.0955414012738854,1,2.7732401980354,25.7566245284958,7.42021769885711,0.85546982127167,0.292993630573248,0.221428571428571,0.335714285714286,0.628707916287534,0.717517600233511,0.289523902845057,0.326540102269323,108.607697090659,113.650814126281,99.6033317995935,105.60620949313,78.3270893713523,142.293461244031,97.6809752206688,111.543168734719,0.293103448275862,85.1850271078155,19.0482442775909,0.513276940206432,0.198083075542851,0.339286932990695,0.535196853036173,0.00733156715200129,0.0395933188018005,0.0324400267999638,0.347827396494575,0.0100833942969158,0.0625563063426049,0.288639984250718,0.0785913280193301,0.547092876065941
"Christian Ibarra",152,130,0.340470206691244,0.251934395515916,0.354361046909699,0.151315789473684,0.125,1,1.6726429813494,23.5275590919159,6.8050029504639,0.746266393339867,0.276315789473684,0.176923076923077,0.207692307692308,0.484008097165992,0.694831253600943,0.248159390552557,0.325596037506945,104.078917398533,117.26678273284,91.0744719827125,102.26717073738,68.917914161782,186.167278460941,83.7252159187464,111.220684683435,0.265486725663717,85.9551125338016,22.9286444636744,0.284100708281783,0.0379662433147527,0.269993647249309,0.578037406124348,0.00104021236162368,0.00707967072162622,0.120085668152891,0.148122793903236,0.00175212706088524,0.0167800128441238,0.677933048403464,0.143849063543093,0.713259398038864
"Ian Walters",264,234,0.32159438002614,0.251713317636329,0.397760110945561,0.189393939393939,0.0984848484848485,7,6.50058240278726,39.1446811688691,11.8381030844907,1.4175496707539,0.276515151515151,0.200854700854701,0.354700854700855,0.631216006216006,0.7193544909717,0.284347334793308,0.323891509120281,103.98758589804,110.765457738942,102.228482492838,105.876568112975,86.2608938783833,146.677249696499,95.9344796442341,110.638433082099,0.245098039215686,85.0290153131185,21.5469736758483,0.508693750150755,0.218337608551544,0.34199183028599,0.513532967013831,0.00686638795832181,0.0557907406272751,0.0196456790997876,0.385559035322116,0.0100978303815809,0.0577100865110004,0.2729686412977,0.0818180741145819,0.526987368685515
"Jake Guenther",140,123,0.335282653768224,0.251541231931311,0.356571680611784,0.1,0.114285714285714,1,1.8537584239645,22.3902043338553,6.03374762365835,0.661861146073115,0.364285714285714,0.284552845528455,0.365853658536585,0.7301393728223,0.691854334380007,0.344492452780116,0.323530670752169,103.916494001909,115.480054761982,91.6426278195921,101.829019596853,45.5457519677864,170.210083164289,116.226530566391,110.515173933527,0.273584905660377,83.1896184076153,19.3865662866898,0.551085516806658,0.327897431304371,0.353653642962105,0.530925348530826,0.0368306670714889,0.0398577496338377,0.0533333858734206,0.355154498047384,0.0289822167005405,0.174837962473587,0.121017051888971,0.0387325918017425,0.387691936905068
"Raphael Gladu",204,185,0.324118776586812,0.26551475904708,0.387452743170393,0.127450980392157,0.0833333333333333,5,3.54350795208235,34.7424686863792,9.74050436393048,1.0937494213177,0.348039215686274,0.291891891891892,0.427027027027027,0.775066242713301,0.711571519757205,0.348574842681449,0.322473145051412,109.689225317416,111.634925484413,99.5793818486182,104.731049050739,58.0485074099238,124.111518973961,117.603867024192,110.153932643832,0.242603550295858,83.4546087092071,20.7580428391789,0.485075788106389,0.448672802019187,0.357621368008984,0.460056512548897,0.0558012930216631,0.0944621770183166,0.016760520630625,0.446666637352104,0.0415860052549675,0.198615477055224,0.0662514098744244,0.0320586494021398,0.29637135970708
"Jesmuel Valentin",135,110,0.348318031800994,0.218390311755766,0.30563865031062,0.162962962962963,0.17037037037037,1,1.26477862922628,17.4725837462091,4.76816248204254,0.517409435656281,0.362962962962963,0.236363636363636,0.345454545454545,0.708417508417508,0.653956682111614,0.34101026649958,0.322353288651212,90.2212148179356,119.969777544086,78.5523096776547,96.2511391330832,74.2227069104667,253.739105457875,115.051693710297,110.112990773053,0.186813186813187,82.9209603183568,18.5162582326812,0.562946020848053,0.2833025931703,0.347801187079612,0.549900142550973,0.028207530037312,0.0307691485105877,0.0704674296545096,0.327591148486608,0.0236119540706572,0.152261984708598,0.153751385981647,0.0433219918215153,0.426067483079627
